127.0.0.1 - - [01/Mar/2024:17:45:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:45:59 +0530] "GET /signup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/login.jsp HTTP/1.1" 200 2951
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /signup/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:00 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:08 +0530] "GET /signup/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:08 +0530] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "POST /signup/Login HTTP/1.1" 200 23989
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "GET /signup/css/index-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "GET /signup/assets/img/avataaars.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "GET /signup/assets/img/portfolio/cabin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "GET /signup/assets/img/portfolio/cake.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "GET /signup/assets/img/portfolio/circus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "GET /signup/assets/img/portfolio/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "GET /signup/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "GET /signup/assets/img/portfolio/safe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2024:17:46:15 +0530] "GET /signup/assets/img/portfolio/submarine.png HTTP/1.1" 304 -
